trip_id,tpep_pickup_datetime,tpep_dropoff_datetime,PULocationID,DOLocationID,trip_distance,fare_amount,passenger_count,payment_type
780,2024-03-27 19:39:00,2024-03-27 19:50:22,16,4,3.93,14.31,1.0,1
781,2024-03-24 12:28:00,2024-03-24 12:32:12,19,9,6.49,20.88,2.0,1
782,2024-03-22 02:53:00,2024-03-22 02:55:39,2,13,1.79,7.19,1.0,1
783,2024-03-10 07:55:00,2024-03-10 08:15:07,11,8,3.21,11.42,3.0,1
784,2024-03-01 19:20:00,2024-03-01 19:44:47,5,19,3.17,10.21,1.0,1
785,2024-03-13 17:44:00,2024-03-13 17:53:05,4,9,2.52,8.87,1.0,2
786,2024-03-12 05:25:00,2024-03-12 05:51:43,15,16,1.28,6.97,1.0,1
787,2024-03-21 11:22:00,2024-03-21 11:50:58,15,1,6.25,19.11,1.0,1
788,2024-03-20 13:24:00,2024-03-20 13:55:33,12,15,1.65,7.39,1.0,2
789,2024-03-13 13:33:00,2024-03-13 14:04:13,1,4,2.08,8.4,1.0,1
790,2024-03-20 19:06:00,2024-03-20 19:13:41,12,5,1.24,6.96,1.0,1
791,2024-03-25 01:31:00,2024-03-25 01:46:29,18,1,0.5,4.31,1.0,1
792,2024-03-20 22:22:00,2024-03-20 22:38:17,3,12,0.33,3.87,2.0,2
793,2024-03-26 19:40:00,2024-03-26 20:07:53,15,1,0.63,4.9,1.0,1
794,2024-03-08 07:59:00,2024-03-08 08:01:43,15,13,3.09,10.01,1.0,1
795,2024-03-28 05:38:00,2024-03-28 06:08:51,5,2,3.39,13.28,1.0,1
796,2024-03-31 10:52:00,2024-03-31 10:59:12,6,12,2.22,7.93,1.0,1
797,2024-03-11 01:21:00,2024-03-11 01:50:06,17,2,4.65,16.72,1.0,2
798,2024-03-17 12:12:00,2024-03-17 12:15:01,17,3,7.44,19.77,1.0,1
799,2024-03-03 11:33:00,2024-03-03 11:37:51,3,20,4.0,14.08,2.0,2
800,2024-03-31 05:54:00,2024-03-31 06:07:21,19,19,2.49,10.68,1.0,1
801,2024-03-06 22:04:00,2024-03-06 22:53:09,16,11,2.49,10.5,1.0,1
802,2024-03-13 21:30:00,2024-03-13 21:42:41,1,7,4.66,13.78,1.0,2
803,2024-03-02 07:49:00,2024-03-02 07:54:23,15,6,1.6,7.76,1.0,1
804,2024-03-22 16:50:00,2024-03-22 17:11:33,9,9,0.0,4.04,1.0,1
805,2024-03-01 08:16:00,2024-03-01 08:47:37,15,6,4.18,12.92,1.0,2
806,2024-03-26 18:38:00,2024-03-26 19:09:58,12,5,4.67,14.5,4.0,1
807,2024-03-21 06:21:00,2024-03-21 06:28:40,11,7,5.02,17.25,1.0,1
808,2024-03-13 16:56:00,2024-03-13 17:08:58,10,13,3.74,12.91,1.0,2
809,2024-03-16 16:28:00,2024-03-16 17:02:10,9,2,3.71,12.18,1.0,1
810,2024-03-03 08:47:00,2024-03-03 09:16:39,17,20,5.41,16.56,1.0,2
811,2024-03-24 09:30:00,2024-03-24 09:35:51,8,2,5.04,16.73,1.0,2
812,2024-03-08 20:04:00,2024-03-08 20:25:02,2,5,1.35,6.59,2.0,1
813,2024-03-22 10:04:00,2024-03-22 10:08:55,14,3,1.7,7.17,1.0,1
814,2024-03-21 12:30:00,2024-03-21 13:02:11,19,1,1.53,7.79,2.0,1
815,2024-03-10 19:26:00,2024-03-10 19:41:34,12,13,8.52,22.71,2.0,2
816,2024-03-30 10:58:00,2024-03-30 11:10:18,15,5,2.44,9.9,1.0,1
817,2024-03-15 14:57:00,2024-03-15 15:00:05,2,9,1.61,7.24,1.0,1
818,2024-03-03 17:37:00,2024-03-03 17:38:47,18,4,4.57,14.7,2.0,2
819,2024-03-20 18:26:41,2024-03-20 18:11:00,3,20,2.33,10.39,1.0,1
820,2024-03-12 03:39:00,2024-03-12 04:10:43,4,7,6.2,19.04,1.0,3
821,2024-03-04 13:13:00,2024-03-04 13:32:15,14,4,7.03,24.01,1.0,1
822,2024-03-26 17:10:00,2024-03-26 17:40:07,7,9,3.45,13.99,1.0,1
823,2024-03-16 14:22:00,2024-03-16 14:55:32,5,20,1.98,8.56,4.0,1
824,2024-03-22 04:51:00,2024-03-22 05:12:39,10,6,1.3,6.39,1.0,1
825,2024-03-05 21:24:00,2024-03-05 22:07:27,4,8,3.82,12.36,1.0,2
826,2024-03-23 14:23:00,2024-03-23 14:35:29,19,2,4.03,13.49,2.0,1
827,2024-03-22 22:40:00,2024-03-22 22:47:03,1,4,0.63,4.81,1.0,1
828,2024-03-26 19:05:00,2024-03-26 19:09:11,15,11,5.17,15.6,2.0,1
829,2024-03-07 16:09:00,2024-03-07 16:12:55,6,17,1.86,8.05,1.0,1
830,2024-03-22 06:53:00,2024-03-22 07:02:05,6,3,6.16,20.79,1.0,2
831,2024-03-13 04:52:00,2024-03-13 05:00:04,10,20,0.87,4.96,1.0,3
832,2024-03-11 17:19:00,2024-03-11 17:45:30,12,10,0.27,3.74,1.0,2
833,2024-03-02 08:53:00,2024-03-02 09:22:45,15,6,1.37,6.81,4.0,1
834,2024-03-05 19:08:00,2024-03-05 19:12:48,18,3,2.9,11.67,1.0,2
835,2024-03-13 12:33:00,2024-03-13 12:39:44,3,3,2.01,8.16,1.0,2
836,2024-03-30 18:35:00,2024-03-30 19:19:45,17,8,1.21,6.85,1.0,1
837,2024-03-09 21:27:00,2024-03-09 21:51:01,14,11,0.85,5.47,1.0,1
838,2024-03-24 06:01:00,2024-03-24 06:39:23,2,13,1.08,5.52,1.0,1
839,2024-03-26 08:06:00,2024-03-26 08:26:50,13,12,4.98,16.15,1.0,1
840,2024-03-09 03:21:00,2024-03-09 03:23:30,8,2,2.39,10.25,2.0,1
841,2024-03-05 02:52:00,2024-03-05 03:08:10,6,19,4.92,14.03,1.0,1
842,2024-03-24 01:02:00,2024-03-24 01:08:01,3,12,2.77,11.47,3.0,1
843,2024-03-14 08:51:00,2024-03-14 09:06:08,16,12,1.11,5.52,2.0,1
844,2024-03-23 18:47:00,2024-03-23 19:10:57,4,8,4.35,14.44,2.0,1
845,2024-03-10 20:33:00,2024-03-10 21:10:53,1,16,0.89,4.98,1.0,2
846,2024-03-12 10:51:00,2024-03-12 11:09:20,17,12,2.38,10.23,1.0,2
847,2024-03-14 10:26:00,2024-03-14 10:32:48,20,16,1.53,7.62,1.0,1
848,2024-03-02 13:40:00,2024-03-02 13:55:31,20,15,3.21,11.51,1.0,1
849,2024-03-24 15:13:00,2024-03-24 15:28:56,13,19,1.75,7.6,1.0,1
850,2024-03-08 14:08:00,2024-03-08 14:16:59,7,13,3.7,13.35,1.0,1
851,2024-03-21 15:14:00,2024-03-21 15:28:54,10,13,0.37,4.12,1.0,2
852,2024-03-29 21:48:00,2024-03-29 22:18:12,20,8,0.15,3.49,1.0,1
853,2024-03-26 00:47:00,2024-03-26 01:04:21,4,8,1.75,8.44,1.0,1
854,2024-03-10 23:00:00,2024-03-10 23:01:00,20,15,2.62,9.28,1.0,1
855,2024-03-05 02:34:00,2024-03-05 02:36:29,8,16,1.11,6.22,1.0,1
856,2024-03-21 07:43:00,2024-03-21 08:30:06,15,3,3.27,13.2,3.0,2
857,2024-03-31 07:43:00,2024-03-31 08:09:14,15,16,4.78,14.73,1.0,3
858,2024-03-26 19:34:00,2024-03-26 19:42:48,1,7,1.85,8.67,2.0,3
859,2024-03-23 19:24:00,2024-03-23 19:26:32,9,14,0.44,4.02,2.0,2
860,2024-03-02 16:19:00,2024-03-02 16:26:43,1,9,1.91,8.03,1.0,2
861,2024-03-18 06:42:00,2024-03-18 07:06:42,17,19,3.77,13.54,3.0,1
862,2024-03-03 01:59:00,2024-03-03 02:07:13,12,5,1.76,7.5,1.0,1
863,2024-03-08 03:05:00,2024-03-08 03:06:00,15,3,3.3,-5.0,4.0,1
864,2024-03-06 21:24:00,2024-03-06 22:13:30,20,5,1.29,6.45,2.0,1
865,2024-03-11 17:27:00,2024-03-11 17:37:47,12,16,3.42,11.79,1.0,2
866,2024-03-08 02:20:00,2024-03-08 02:21:00,9,20,2.71,9.74,1.0,2
867,2024-03-09 16:04:54,2024-03-09 15:48:00,9,16,1.51,7.06,1.0,1
868,2024-03-05 21:23:00,2024-03-05 21:51:49,18,19,1.23,6.07,1.0,1
869,2024-03-14 05:23:00,2024-03-14 05:27:57,15,3,0.33,3.98,1.0,2
870,2024-03-07 13:54:00,2024-03-07 14:37:55,1,3,5.6,15.7,1.0,1
871,2024-03-12 03:32:00,2024-03-12 03:56:59,9,10,3.65,12.51,1.0,2
872,2024-03-31 14:38:00,2024-03-31 14:45:24,15,14,0.4,4.05,4.0,1
873,2024-03-26 15:23:00,2024-03-26 15:38:07,7,8,0.75,5.1,1.0,1
874,2024-03-30 22:38:00,2024-03-30 22:58:06,19,10,2.16,9.51,1.0,1
875,2024-03-19 18:18:00,2024-03-19 18:51:04,2,5,3.51,11.66,1.0,2
876,2024-03-27 07:28:00,2024-03-27 07:34:42,2,4,4.38,13.62,1.0,1
877,2024-03-31 04:41:00,2024-03-31 04:42:47,6,15,0.63,4.73,1.0,1
878,2024-03-18 05:05:00,2024-03-18 05:19:54,17,19,0.95,5.4,1.0,1
879,2024-03-30 21:07:00,2024-03-30 21:19:12,7,2,5.09,17.5,1.0,1
880,2024-03-16 09:45:00,2024-03-16 09:49:40,12,8,4.79,16.45,4.0,1
881,2024-03-21 10:10:00,2024-03-21 10:11:28,13,15,1.66,7.74,2.0,1
882,2024-03-24 08:42:00,2024-03-24 09:09:12,8,7,4.17,13.94,2.0,1
883,2024-03-24 02:36:00,2024-03-24 02:56:44,12,12,2.15,9.25,2.0,2
884,2024-03-08 04:40:00,2024-03-08 04:45:25,8,20,4.23,12.95,2.0,1
885,2024-03-20 05:58:00,2024-03-20 05:59:00,14,15,1.05,5.61,1.0,1
886,2024-03-18 20:34:00,2024-03-18 20:50:03,12,5,2.0,9.27,2.0,1
887,2024-03-11 04:29:00,2024-03-11 04:39:25,7,15,5.5,19.18,1.0,1
888,2024-03-10 08:30:00,2024-03-10 08:52:40,7,12,4.1,12.71,1.0,1
889,2024-03-23 01:09:00,2024-03-23 01:34:14,13,19,1.43,7.38,1.0,1
890,2024-03-31 09:58:00,2024-03-31 10:43:55,6,20,2.6,11.06,1.0,1
891,2024-03-12 03:45:00,2024-03-12 04:00:53,20,14,0.24,3.67,2.0,2
892,2024-03-27 08:01:00,2024-03-27 08:14:54,12,20,1.87,7.77,1.0,1
893,2024-03-10 12:51:00,2024-03-10 12:55:23,6,10,0.56,4.4,4.0,1
894,2024-03-20 01:32:00,2024-03-20 01:44:22,13,7,1.3,6.79,1.0,1
895,2024-03-22 05:00:00,2024-03-22 05:04:39,18,5,5.7,20.54,1.0,2
896,2024-03-05 19:29:00,2024-03-05 19:46:51,12,14,1.74,7.7,1.0,1
897,2024-03-24 13:10:00,2024-03-24 13:27:10,14,14,1.25,6.06,2.0,2
898,2024-03-24 08:07:00,2024-03-24 08:24:54,5,7,0.77,4.79,1.0,2
899,2024-03-04 05:46:00,2024-03-04 06:21:56,15,16,3.6,14.31,3.0,1
900,2024-03-29 16:55:00,2024-03-29 17:05:34,12,7,1.01,5.5,2.0,1
901,2024-03-15 17:02:00,2024-03-15 17:34:11,4,20,1.4,6.58,3.0,1
902,2024-03-22 00:31:40,2024-03-22 00:15:00,8,14,6.53,23.8,2.0,2
903,2024-03-20 15:27:00,2024-03-20 16:05:48,16,5,10.51,30.77,1.0,1
904,2024-03-04 21:44:00,2024-03-04 21:45:00,12,13,7.61,20.69,4.0,1
905,2024-03-05 04:21:00,2024-03-05 05:04:07,2,12,7.55,26.35,1.0,1
906,2024-03-17 20:11:00,2024-03-17 20:45:11,13,20,5.24,15.65,2.0,1
907,2024-03-20 01:33:00,2024-03-20 01:42:10,5,18,2.69,9.79,1.0,1
908,2024-03-29 23:23:00,2024-03-29 23:36:56,9,16,6.72,23.0,2.0,1
909,2024-03-25 18:50:00,2024-03-25 19:24:44,12,4,5.2,15.83,1.0,1
910,2024-03-30 05:00:00,2024-03-30 05:42:22,12,14,5.91,19.77,1.0,2
911,2024-03-03 13:19:00,2024-03-03 13:26:42,16,12,0.6,4.54,1.0,3
912,2024-03-05 16:44:00,2024-03-05 17:06:06,17,16,2.78,10.32,1.0,1
913,2024-03-23 00:08:00,2024-03-23 00:35:28,13,14,0.5,4.13,1.0,1
914,2024-03-04 10:40:00,2024-03-04 11:03:24,19,10,5.37,15.43,1.0,2
915,2024-03-22 20:17:00,2024-03-22 20:22:12,20,10,0.37,3.95,2.0,2
916,2024-03-03 10:55:00,2024-03-03 11:01:40,18,2,5.11,14.96,1.0,1
917,2024-03-19 10:42:00,2024-03-19 11:20:13,14,8,4.39,14.01,1.0,1
918,2024-03-06 17:52:00,2024-03-06 18:13:53,16,16,2.34,9.49,3.0,1
919,2024-03-15 02:13:00,2024-03-15 02:28:24,5,11,0.48,4.49,2.0,1
920,2024-03-12 05:51:00,2024-03-12 06:12:46,6,13,4.65,17.57,2.0,1
921,2024-03-24 07:53:00,2024-03-24 08:18:32,18,10,6.75,18.13,1.0,2
922,2024-03-18 11:58:00,2024-03-18 12:11:31,6,3,1.06,5.89,2.0,1
923,2024-03-02 09:19:00,2024-03-02 09:26:48,12,7,1.85,8.39,3.0,1
924,2024-03-25 09:36:00,2024-03-25 10:06:14,17,7,9.4,28.86,1.0,2
925,2024-03-20 03:44:00,2024-03-20 04:02:58,4,5,4.02,15.61,1.0,1
926,2024-03-06 23:41:00,2024-03-07 00:08:39,18,8,1.42,6.58,1.0,1
927,2024-03-25 16:57:00,2024-03-25 17:07:42,5,2,2.84,10.45,1.0,1
928,2024-03-17 07:05:00,2024-03-17 07:10:22,5,17,2.65,9.16,3.0,1
929,2024-03-30 06:25:00,2024-03-30 06:43:01,17,11,4.47,17.12,2.0,1
930,2024-03-06 22:36:00,2024-03-06 22:42:08,3,5,1.17,5.66,1.0,1
931,2024-03-01 05:06:00,2024-03-01 05:16:51,9,13,1.9,9.07,1.0,3
932,2024-03-05 14:55:00,2024-03-05 15:20:00,3,17,8.47,26.71,1.0,1
933,2024-03-18 07:45:00,2024-03-18 08:05:40,3,19,3.11,11.58,2.0,1
934,2024-03-30 14:07:00,2024-03-30 14:16:49,4,1,0.0,3.98,1.0,1
935,2024-03-26 08:53:00,2024-03-26 09:09:04,3,10,1.7,8.03,1.0,2
936,2024-03-27 14:31:00,2024-03-27 14:42:19,3,15,2.65,9.71,1.0,2
937,2024-03-23 20:46:00,2024-03-23 20:52:27,15,15,0.7,4.58,1.0,2
938,2024-03-06 00:57:00,2024-03-06 01:09:29,3,10,3.83,13.16,1.0,1
939,2024-03-18 17:51:00,2024-03-18 18:00:04,8,5,3.41,11.58,1.0,2
940,2024-03-20 22:07:00,2024-03-20 22:45:16,6,16,1.17,6.21,1.0,1
941,2024-03-12 15:00:00,2024-03-12 15:34:34,13,13,4.4,14.45,1.0,1
942,2024-03-31 18:28:00,2024-03-31 19:07:23,1,4,5.74,18.75,1.0,2
943,2024-03-23 01:30:00,2024-03-23 02:09:15,5,6,2.59,9.72,1.0,2
944,2024-03-11 14:16:00,2024-03-11 14:58:05,20,18,2.33,10.33,1.0,1
945,2024-03-06 21:03:00,2024-03-06 22:10:13,14,6,0.8,5.37,1.0,2
946,2024-03-19 16:46:00,2024-03-19 16:57:54,6,2,8.07,22.45,1.0,1
947,2024-03-17 02:11:00,2024-03-17 02:21:10,1,16,2.52,9.17,1.0,1
948,2024-03-19 02:18:00,2024-03-19 02:48:13,12,8,2.18,9.53,2.0,2
949,2024-03-20 18:17:00,2024-03-20 18:35:57,15,2,2.1,8.22,1.0,2
950,2024-03-05 04:47:00,2024-03-05 05:20:50,15,12,9.53,24.74,2.0,1
951,2024-03-27 09:17:00,2024-03-27 09:23:56,13,10,4.68,17.4,2.0,1
952,2024-03-28 21:08:00,2024-03-28 21:47:57,16,19,1.37,6.03,1.0,1
953,2024-03-27 03:14:00,2024-03-27 03:52:36,6,12,1.25,6.04,1.0,1
954,2024-03-03 17:52:00,2024-03-03 18:01:45,6,13,4.2,15.46,1.0,1
955,2024-03-11 06:57:00,2024-03-11 07:08:40,20,2,4.02,12.98,2.0,1
956,2024-03-05 18:00:00,2024-03-05 18:13:36,16,16,1.03,5.49,1.0,1
957,2024-03-17 06:57:00,2024-03-17 07:02:48,4,8,2.74,9.4,1.0,1
958,2024-03-19 11:59:00,2024-03-19 12:12:05,18,10,1.89,8.8,1.0,1
959,2024-03-04 05:23:00,2024-03-04 05:46:26,13,16,6.6,23.63,3.0,1
960,2024-03-02 02:47:00,2024-03-02 03:01:21,1,9,1.74,7.96,,1
961,2024-03-04 02:33:00,2024-03-04 02:39:38,17,14,4.77,17.77,1.0,1
962,2024-03-30 21:03:00,2024-03-30 21:06:23,5,17,0.7,4.65,2.0,1
963,2024-03-10 12:17:00,2024-03-10 12:45:49,17,5,10.69,36.68,4.0,3
964,2024-03-06 14:38:00,2024-03-06 14:46:17,18,17,0.59,4.62,1.0,1
965,2024-03-20 20:58:00,2024-03-20 21:24:08,15,7,0.74,4.82,1.0,2
966,2024-03-10 22:45:00,2024-03-10 23:12:16,20,13,5.24,19.7,3.0,1
967,2024-03-06 17:46:00,2024-03-06 17:59:53,19,4,9.43,24.06,1.0,1
968,2024-03-22 14:14:00,2024-03-22 14:20:49,1,3,0.68,5.06,1.0,1
969,2024-03-06 12:45:00,2024-03-06 13:10:10,20,8,0.79,5.37,2.0,1
970,2024-03-20 09:15:00,2024-03-20 09:16:04,15,18,4.21,16.02,1.0,2
971,2024-03-28 01:36:00,2024-03-28 01:49:25,16,6,1.72,8.07,1.0,1
972,2024-03-18 00:44:00,2024-03-18 00:55:12,16,18,0.85,5.31,1.0,1
973,2024-03-01 03:56:00,2024-03-01 04:35:34,4,19,2.88,10.38,2.0,1
974,2024-03-05 17:42:00,2024-03-05 18:09:54,17,5,5.5,15.68,4.0,1
975,2024-03-18 12:08:00,2024-03-18 12:21:25,3,19,4.6,17.36,1.0,1
976,2024-03-19 00:16:00,2024-03-19 00:29:33,10,3,1.75,7.03,1.0,2
977,2024-03-02 05:00:00,2024-03-02 05:35:00,6,2,3.66,13.49,1.0,1
978,2024-03-05 04:07:00,2024-03-05 04:26:22,7,3,8.84,25.75,3.0,2
979,2024-03-13 02:43:00,2024-03-13 02:55:44,13,4,4.42,14.75,1.0,1
980,2024-03-29 05:02:00,2024-03-29 05:08:19,14,20,1.49,7.36,1.0,1
981,2024-03-27 07:30:00,2024-03-27 08:37:39,14,3,1.09,6.31,4.0,1
982,2024-03-26 02:25:00,2024-03-26 02:30:45,15,1,2.97,9.88,1.0,1
983,2024-03-21 08:19:00,2024-03-21 08:32:48,10,14,1.65,6.63,1.0,1
984,2024-03-02 20:56:00,2024-03-02 21:28:04,7,4,0.97,5.14,,1
985,2024-03-26 06:05:00,2024-03-26 06:17:19,8,6,7.2,20.02,1.0,1
986,2024-03-11 13:23:00,2024-03-11 13:39:12,11,5,2.27,9.69,1.0,1
987,2024-03-04 19:46:00,2024-03-04 20:29:33,13,9,3.7,13.67,2.0,2
988,2024-03-04 17:21:00,2024-03-04 17:48:12,1,17,7.43,21.34,1.0,1
989,2024-03-14 07:52:00,2024-03-14 08:06:27,20,7,6.21,21.75,1.0,1
990,2024-03-13 10:25:00,2024-03-13 10:52:14,14,7,1.32,6.6,1.0,1
991,2024-03-19 03:07:00,2024-03-19 03:16:08,20,9,0.8,5.49,1.0,1
992,2024-03-21 15:22:00,2024-03-21 15:24:58,1,5,3.76,13.12,2.0,1
993,2024-03-23 12:19:00,2024-03-23 12:58:18,13,4,0.35,3.88,1.0,1
994,2024-03-01 18:00:00,2024-03-01 18:11:30,12,3,1.71,8.4,1.0,1
995,2024-03-24 14:59:00,2024-03-24 15:23:45,19,18,4.35,16.91,4.0,1
996,2024-03-08 19:59:00,2024-03-08 20:19:25,16,9,4.47,13.07,1.0,2
997,2024-03-18 07:11:00,2024-03-18 07:51:56,19,18,1.56,7.74,1.0,1
998,2024-03-11 15:04:00,2024-03-11 15:23:25,8,13,2.89,10.75,1.0,1
999,2024-03-22 07:32:00,2024-03-22 07:40:44,14,5,4.54,16.14,1.0,1
1000,2024-03-03 08:44:00,2024-03-03 08:59:26,13,11,1.46,7.06,1.0,2
1001,2024-03-15 07:57:00,2024-03-15 08:20:44,20,7,5.2,17.93,2.0,1
1002,2024-03-01 05:03:00,2024-03-01 05:13:22,9,9,3.18,12.32,0.0,1
1003,2024-03-27 10:11:00,2024-03-27 10:18:41,17,16,3.29,12.31,1.0,1
1004,2024-03-31 13:06:00,2024-03-31 13:19:55,16,13,1.83,7.69,3.0,2
1005,2024-03-19 05:59:00,2024-03-19 06:07:23,16,4,0.8,5.29,1.0,2
1006,2024-03-03 05:19:00,2024-03-03 05:43:00,16,13,2.41,9.8,1.0,1
1007,2024-03-12 07:07:00,2024-03-12 07:28:43,2,15,1.09,5.69,1.0,2
1008,2024-03-16 01:22:00,2024-03-16 01:29:05,5,9,1.48,7.37,2.0,1
1009,2024-03-01 05:37:00,2024-03-01 05:46:48,7,2,14.04,41.84,2.0,2
1010,2024-03-20 18:44:00,2024-03-20 18:50:46,2,3,6.08,20.93,2.0,1
1011,2024-03-25 20:37:00,2024-03-25 20:55:06,19,16,0.68,-5.0,3.0,1
1012,2024-03-27 15:41:00,2024-03-27 16:16:45,6,17,1.67,8.25,1.0,2
1013,2024-03-07 07:51:00,2024-03-07 08:03:25,16,14,0.56,4.64,1.0,2
1014,2024-03-27 10:06:00,2024-03-27 10:16:45,17,8,2.33,9.91,2.0,1
1015,2024-03-16 02:50:00,2024-03-16 03:12:32,8,7,7.02,25.24,1.0,2
1016,2024-03-25 01:58:00,2024-03-25 01:59:35,2,13,3.34,10.36,4.0,2
1017,2024-03-08 04:26:00,2024-03-08 04:51:48,14,8,3.82,15.19,,1
1018,2024-03-06 19:51:00,2024-03-06 20:10:36,5,20,2.78,11.58,1.0,1
1019,2024-03-09 00:33:00,2024-03-09 00:45:59,18,8,3.77,13.33,2.0,2
1020,2024-03-28 20:28:00,2024-03-28 20:38:14,5,6,5.72,20.69,3.0,1
1021,2024-03-13 16:21:00,2024-03-13 16:47:26,16,15,10.56,28.97,3.0,2
1022,2024-03-21 16:30:00,2024-03-21 16:50:01,8,7,7.14,24.11,1.0,1
1023,2024-03-03 05:15:00,2024-03-03 05:41:02,2,8,0.56,4.38,1.0,3
1024,2024-03-09 00:56:00,2024-03-09 01:05:22,14,17,0.25,3.71,1.0,1
1025,2024-03-16 02:05:00,2024-03-16 02:17:26,8,2,1.19,5.74,1.0,1
1026,2024-03-31 10:31:00,2024-03-31 10:45:47,9,4,1.24,5.87,1.0,1
1027,2024-03-11 06:16:00,2024-03-11 07:06:58,5,12,4.89,13.92,1.0,1
1028,2024-03-11 12:03:00,2024-03-11 12:53:23,15,6,2.88,10.47,2.0,1
1029,2024-03-08 14:47:00,2024-03-08 15:27:00,20,7,0.66,5.05,2.0,2
1030,2024-03-12 01:54:00,2024-03-12 02:04:26,19,9,0.4,4.07,1.0,1
1031,2024-03-08 05:57:00,2024-03-08 06:03:26,2,19,2.95,10.87,1.0,1
1032,2024-03-28 08:09:00,2024-03-28 08:41:14,9,13,7.06,24.52,2.0,1
1033,2024-03-06 22:39:00,2024-03-06 22:43:19,19,19,1.63,7.8,4.0,2
1034,2024-03-22 18:15:00,2024-03-22 18:33:09,20,17,1.2,6.57,1.0,1
1035,2024-03-11 00:07:00,2024-03-11 00:17:07,10,3,2.71,10.88,1.0,1
1036,2024-03-19 06:04:00,2024-03-19 06:54:01,20,20,1.82,8.1,1.0,1
1037,2024-03-21 07:35:00,2024-03-21 08:34:15,1,7,6.81,23.24,1.0,1
1038,2024-03-08 18:04:00,2024-03-08 18:17:36,13,9,6.13,17.27,2.0,1
1039,2024-03-21 23:13:00,2024-03-21 23:19:49,11,17,3.16,12.79,1.0,1
1040,2024-03-31 10:46:00,2024-03-31 11:08:46,12,10,3.56,14.22,3.0,2
1041,2024-03-26 21:45:00,2024-03-26 22:02:23,16,15,2.59,10.84,1.0,1
1042,2024-03-08 03:05:00,2024-03-08 03:31:39,6,11,1.22,5.86,1.0,1
1043,2024-03-17 21:31:00,2024-03-17 21:44:13,15,11,3.9,12.18,1.0,2
1044,2024-03-15 21:22:00,2024-03-15 21:45:00,13,12,3.13,10.03,1.0,3
1045,2024-03-30 20:56:00,2024-03-30 21:06:38,1,13,1.85,7.87,1.0,1
1046,2024-03-28 10:21:00,2024-03-28 10:25:46,2,19,3.75,13.54,1.0,1
1047,2024-03-17 23:10:00,2024-03-17 23:18:03,8,14,6.23,22.15,1.0,1
1048,2024-03-12 23:43:00,2024-03-12 23:56:05,6,8,1.51,6.99,1.0,1
1049,2024-03-16 14:27:00,2024-03-16 14:46:02,10,14,1.59,7.12,1.0,1
1050,2024-03-09 02:23:00,2024-03-09 02:39:38,15,3,4.56,15.14,4.0,1
1051,2024-03-24 13:48:00,2024-03-24 14:00:15,16,12,3.6,12.17,1.0,2
1052,2024-03-26 14:28:00,2024-03-26 14:56:22,8,1,2.41,10.33,1.0,3
1053,2024-03-26 22:47:00,2024-03-26 23:24:16,8,15,0.89,5.46,1.0,2
1054,2024-03-10 05:26:00,2024-03-10 06:09:22,15,4,1.35,7.08,1.0,1
1055,2024-03-09 11:14:00,2024-03-09 11:20:15,11,7,7.84,22.55,1.0,1
1056,2024-03-19 20:20:00,2024-03-19 20:33:27,16,6,6.15,19.2,1.0,1
1057,2024-03-13 06:29:00,2024-03-13 06:56:15,18,12,5.04,17.49,1.0,3
1058,2024-03-26 16:12:00,2024-03-26 16:18:12,13,9,0.87,5.04,1.0,1
1059,2024-03-13 00:36:00,2024-03-13 00:42:11,2,14,1.91,7.88,2.0,1
1060,2024-03-05 09:18:00,2024-03-05 09:23:46,19,16,1.05,6.26,1.0,1
1061,2024-03-08 05:06:00,2024-03-08 05:29:52,8,10,1.72,7.84,1.0,2
1062,2024-03-16 15:40:00,2024-03-16 15:43:21,13,8,1.71,7.05,1.0,1
1063,2024-03-29 18:05:00,2024-03-29 18:15:55,16,17,5.4,17.33,1.0,1
1064,2024-03-06 00:40:00,2024-03-06 00:48:47,8,15,0.86,5.63,1.0,1
1065,2024-03-28 09:41:00,2024-03-28 09:46:07,6,6,2.91,10.71,2.0,2
1066,2024-03-22 23:13:00,2024-03-22 23:26:30,5,6,0.67,4.54,1.0,2
1067,2024-03-13 10:23:00,2024-03-13 11:12:58,19,13,3.3,13.41,2.0,1
1068,2024-03-16 12:13:00,2024-03-16 12:30:17,18,20,1.61,7.7,1.0,1
1069,2024-03-26 00:25:00,2024-03-26 00:42:33,16,2,2.96,11.12,1.0,1
1070,2024-03-05 11:17:00,2024-03-05 11:32:04,6,20,1.41,7.03,2.0,1
1071,2024-03-07 16:43:00,2024-03-07 16:49:50,6,3,12.35,34.16,1.0,2
1072,2024-03-02 05:26:00,2024-03-02 05:30:14,20,4,9.41,28.36,1.0,1
1073,2024-03-20 01:43:00,2024-03-20 02:20:03,14,15,4.15,13.82,1.0,1
1074,2024-03-29 07:18:00,2024-03-29 07:23:25,4,20,1.63,7.21,1.0,1
1075,2024-03-04 20:18:00,2024-03-04 20:38:19,12,18,4.77,18.07,1.0,1
1076,2024-03-19 19:26:00,2024-03-19 19:29:24,9,4,0.68,4.8,2.0,1
1077,2024-03-03 08:32:00,2024-03-03 08:36:02,12,19,0.48,4.19,1.0,1
1078,2024-03-13 02:02:00,2024-03-13 02:15:49,20,15,3.41,11.8,3.0,1
1079,2024-03-25 21:45:00,2024-03-25 22:03:55,9,7,3.9,13.59,,1
1080,2024-03-16 02:31:00,2024-03-16 02:57:32,7,11,1.04,6.05,1.0,2
